order_id	affiliate_id	product_id	commission	status
399	170	179	190000.00	cancelled
400	141	179	190000.00	cancelled
401	53	179	190000.00	added
402	141	179	190000.00	cancelled
403	141	179	190000.00	cancelled
406	141	179	190000.00	cancelled
410	53	179	190000.00	cancelled
411	111	179	190000.00	added
412	53	179	190000.00	added
413	53	179	190000.00	added
414	111	179	190000.00	cancelled
415	53	179	190000.00	added
416	125	179	190000.00	cancelled
417	325	179	190000.00	cancelled
418	141	179	190000.00	added
419	53	179	190000.00	cancelled
420	141	179	190000.00	cancelled
423	53	179	190000.00	added
424	141	179	190000.00	cancelled
425	325	179	190000.00	added
426	325	179	190000.00	cancelled
428	53	179	190000.00	cancelled
430	53	179	190000.00	cancelled
431	53	179	190000.00	cancelled
432	53	179	190000.00	cancelled
433	53	179	190000.00	added
434	53	179	190000.00	cancelled
435	53	179	190000.00	cancelled
436	53	179	190000.00	cancelled
437	53	179	190000.00	added
440	53	179	190000.00	cancelled
442	53	179	190000.00	added
443	53	179	190000.00	cancelled
444	53	179	190000.00	added
445	141	179	190000.00	cancelled
446	198	179	190000.00	added
447	198	179	190000.00	cancelled
448	141	179	190000.00	added
449	141	179	190000.00	cancelled
450	53	179	190000.00	cancelled
451	198	179	190000.00	cancelled
452	325	179	190000.00	added
453	99	179	190000.00	added
457	53	179	190000.00	cancelled
460	53	179	190000.00	cancelled
461	53	179	190000.00	cancelled
463	198	179	190000.00	added
465	53	179	190000.00	cancelled
468	325	179	190000.00	cancelled
469	53	179	190000.00	added
471	325	179	190000.00	added
473	521	179	190000.00	added
474	198	179	190000.00	cancelled
475	325	179	190000.00	cancelled
476	198	179	190000.00	cancelled
477	53	179	190000.00	cancelled
478	325	179	190000.00	cancelled
479	198	179	190000.00	added
480	53	179	190000.00	cancelled
481	53	179	190000.00	cancelled
482	53	179	190000.00	cancelled
483	170	179	190000.00	cancelled
484	170	179	190000.00	added
486	325	179	190000.00	added
489	53	179	190000.00	cancelled
490	53	179	190000.00	cancelled
491	53	179	190000.00	cancelled
492	53	179	190000.00	cancelled
493	78	179	190000.00	added
494	53	179	190000.00	added
498	53	179	190000.00	added
499	53	179	190000.00	added
500	325	179	190000.00	added
503	198	179	190000.00	added
513	325	179	190000.00	added
555	325	179	190000.00	added
571	53	179	190000.00	cancelled
618	325	179	190000.00	cancelled
638	53	179	190000.00	cancelled
639	53	179	190000.00	added
640	53	179	190000.00	cancelled
641	53	179	190000.00	cancelled
642	53	179	190000.00	added
643	53	179	190000.00	added
646	141	179	190000.00	cancelled
647	53	179	190000.00	added
648	53	179	190000.00	added
649	325	179	190000.00	cancelled
650	53	179	190000.00	cancelled
652	325	179	190000.00	added
653	325	179	190000.00	cancelled
654	141	179	190000.00	added
656	141	179	190000.00	cancelled
657	53	179	190000.00	added
658	325	179	190000.00	cancelled
659	325	179	190000.00	added
660	493	179	190000.00	added
661	106	179	190000.00	cancelled
662	141	179	190000.00	cancelled
663	198	179	190000.00	added
664	325	179	190000.00	cancelled
667	53	179	190000.00	cancelled
668	198	179	190000.00	added
670	53	179	190000.00	cancelled
671	325	179	190000.00	cancelled
673	111	179	190000.00	added
674	325	179	190000.00	cancelled
677	141	179	190000.00	added
678	141	179	190000.00	cancelled
679	141	179	190000.00	cancelled
680	141	179	190000.00	cancelled
681	141	179	190000.00	cancelled
682	141	179	190000.00	cancelled
684	53	179	190000.00	cancelled
685	325	179	190000.00	cancelled
687	120	179	190000.00	added
688	120	179	190000.00	cancelled
689	262	179	190000.00	added
690	111	179	190000.00	cancelled
691	53	179	190000.00	added
693	325	179	190000.00	added
694	111	179	190000.00	added
695	104	179	190000.00	cancelled
696	53	179	190000.00	cancelled
697	53	179	190000.00	cancelled
698	53	179	190000.00	added
699	141	179	190000.00	cancelled
700	325	179	190000.00	cancelled
701	325	179	190000.00	cancelled
702	141	179	190000.00	added
703	325	179	190000.00	cancelled
705	53	179	190000.00	cancelled
706	53	179	190000.00	cancelled
708	53	179	190000.00	cancelled
709	53	179	190000.00	cancelled
710	325	179	190000.00	added
711	92	179	190000.00	added
714	198	179	190000.00	added
715	325	179	190000.00	added
716	120	179	190000.00	cancelled
717	388	179	190000.00	added
718	325	179	190000.00	added
719	141	179	190000.00	cancelled
720	141	179	190000.00	added
721	170	179	190000.00	added
723	53	179	190000.00	cancelled
724	141	179	190000.00	added
725	53	179	190000.00	added
726	198	179	190000.00	added
727	141	179	190000.00	cancelled
728	141	179	190000.00	added
729	141	179	190000.00	cancelled
730	141	179	190000.00	cancelled
731	141	179	190000.00	cancelled
732	141	179	190000.00	cancelled
733	141	179	190000.00	cancelled
734	141	179	190000.00	added
735	141	179	190000.00	added
736	141	179	190000.00	added
737	141	179	190000.00	added
738	141	179	190000.00	cancelled
739	141	179	190000.00	added
741	141	179	190000.00	cancelled
742	325	179	190000.00	added
743	141	179	190000.00	added
744	141	179	190000.00	cancelled
745	141	179	190000.00	cancelled
746	141	179	190000.00	added
747	141	179	190000.00	added
749	141	179	190000.00	cancelled
750	141	179	190000.00	cancelled
751	325	179	190000.00	added
752	141	179	190000.00	cancelled
753	141	179	190000.00	cancelled
755	141	179	190000.00	cancelled
756	141	179	190000.00	cancelled
757	141	179	190000.00	cancelled
758	141	179	190000.00	added
759	141	179	190000.00	cancelled
760	141	179	190000.00	added
761	141	179	190000.00	cancelled
762	141	179	190000.00	added
763	141	179	190000.00	cancelled
764	141	179	190000.00	cancelled
766	198	179	190000.00	added
767	141	179	190000.00	cancelled
768	141	179	190000.00	cancelled
769	141	179	190000.00	added
770	141	179	190000.00	cancelled
